Country Code,City,Highest Rated Restaurant,Rating Max,Lowest Rated Restaurant,Rating Min
1,Agra,Sheroes Hangout,4.9,The Charcoal Chimney,3.4
1,Ahmedabad,Cryo Lab,4.6,MoMo Cafí© - Courtyard By Marriott,3.6
1,Allahabad,Eat On,3.7,Bikanerwala,3.2
1,Amritsar,Gurdas Ram Jalebi Wala,4.1,Crystal Restaurant,3.4
1,Aurangabad,Bhoj Restaurant,3.7,Domino's Pizza,3.1
1,Bangalore,Toit,4.8,Hoot,3.9
1,Bhopal,Sagar Gaire Fast Food,4.9,Black N White Cafe,3.3
1,Bhubaneshwar,Barbeque Nation,4.6,Eram Rooftop,3.5
1,Chandigarh,Barbeque Nation,4.5,Karim's,3.3
1,Chennai,AB's - Absolute Barbecues,4.9,Paradise,3.8
1,Coimbatore,CakeBee,4.9,Zucca Pizzeria,3.5
1,Dehradun,The Great Indian Pub,4.9,The Punjabi Essence Restaurant,3.6
1,Faridabad,Cafe Parmesan,4.5,Invitation,0.0
1,Ghaziabad,Mr. Brown,3.9,The Big Scoop,0.0
1,Goa,Burger Factory,4.8,Curlies,3.5
1,Gurgaon,Caterspoint,4.9,Chinese Food,0.0
1,Guwahati,Barbeque Nation,4.9,Yo! China,3.6
1,Hyderabad,AB's - Absolute Barbecues,4.9,The Fisherman's Wharf,3.8
1,Indore,Waffle House,4.3,Freito,3.1
1,Jaipur,Zolocrust - Hotel Clarks Amer,4.9,Sky Beach,2.6
1,Kanpur,Dhuaan,4.3,Hucka,3.3
1,Kochi,Nawras Seafood Restaurant,4.6,Ali Baba & 41 Dishes,3.5
1,Kolkata,Barbeque Nation,4.9,Mocambo,3.5
1,Lucknow,Grandson of Tunday Kababi,4.9,Chemistry Cafí©,3.5
1,Ludhiana,Aman Chicken,4.6,Spice Cube,3.5
1,Mangalore,Giri Manja's,4.2,Smoke N Oven,3.5
1,Mohali,The Shooters Cafe,4.3,The Shooters Cafe,4.3
1,Mumbai,Mirchi And Mime,4.9,The American Joint,3.4
1,Mysore,Vinayaka Mylari,4.2,The Barge Restaurant,3.3
1,Nagpur,Barbeque Nation,4.9,KFC,2.2
1,Nashik,Sadhana Restaurant,3.9,Little Italy,3.0
1,New Delhi,Naturals Ice Cream,4.9,Swadist Bhojnalaya,0.0
1,Noida,The Big Chill Cakery,4.5,Rocket Food,0.0
1,Panchkula,Hops n Grains,4.2,Hops n Grains,4.2
1,Patna,Spice Court - Hotel Maurya,3.7,Roti Restaurant,3.1
1,Puducherry,Zuka Choco-la,4.2,Le Cafe,3.1
1,Pune,Le Plaisir,4.8,Teddy Boy,3.6
1,Ranchi,Kaveri Restaurant And Caterers,4.0,Jungli Moon Dance Restaurant,3.1
1,Secunderabad,Coffee Cup,4.6,Saffron Mantra,4.4
1,Surat,Falafel Lovers,4.3,Global Local,3.4
1,Vadodara,La Quello - Mediterranean Kitchen,4.6,El Amigos Kitchen,3.5
1,Varanasi,Kashi Chat Bhandar,4.1,3Cherryz Sky Lounge & Cafe,3.2
1,Vizag,Barbeque Nation,4.9,My Restaurant,3.5
14,Armidale,Whitebull Hotel,3.5,Whitebull Hotel,3.5
14,Balingup,Taste of Balingup,3.2,Taste of Balingup,3.2
14,Beechworth,Bridge Road Brewers,4.6,Bridge Road Brewers,4.6
14,Dicky Beach,The Giggling Goat,3.6,The Giggling Goat,3.6
14,East Ballina,The Belle General,4.1,The Belle General,4.1
14,Flaxton,Flaxton Gardens,3.5,Flaxton Gardens,3.5
14,Forrest,Bespoke Harvest,3.7,Bespoke Harvest,3.7
14,Hepburn Springs,La Trattoria of Lavandula,3.8,Blue Bean Love Cafe,3.8
14,Huskisson,5 Little Pigs,4.1,5 Little Pigs,4.1
14,Inverloch,Beach Box Cafe,3.7,Beach Box Cafe,3.7
