Country Code,Locality,Cuisines,Number of restaurants in the country
1,Connaught Place,North Indian,48
216,Dubuque,American,9
148,Te Aro,Cafe,5
30,Ipanema,Brazilian,3
162,"SM Megamall, Ortigas, Mandaluyong City",Japanese,2
184,"Marina Centre, Downtown Core", Seafood,2
189,Green Point, Grill,2
208,Gazi Osman Paôa,World Cuisine,2
214,Abu Shagara, South Indian,2
14,Victor Harbor, Australian,1
37,Vineland Station, Pizza,1
94,Thamrin, Western,1
166,"The Westin Doha Hotel & Spa, Fereej Bin Mahmoud",Thai,1
